vibe_category,vibe_description,song_name,artist_name,recommendation_reasoning,genre_category,comment_score,extraction_confidence,source_url,data_source,relation_type,anchor_reference_artist,anchor_reference_song,delta_description,reasoning_text,playlist_title,playlist_id,sequence_position,comment_contexts,video_url,extraction_method,search_query,vibe_category_hint
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Ordinary,Alex Warren,"From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 1 in sequence. Listener context: ""this is the visual representation of “I promise to find you in every life time after this”"" (32996 likes)",Pop,32996,high,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,0,2,https://youtube.com/watch?v=u2ah9tWTkmk,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",In The Dark,Selena Gomez,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 3 in sequence.,Pop,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,2,0,https://youtube.com/watch?v=Qhs3rY80HNE,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",intro (end of the world) (lyric visualizer),Ariana Grande,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 4 in sequence.,Pop,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,3,0,https://youtube.com/watch?v=ztotaQ79eek,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Changes,Charlie Puth,"From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 5 in sequence. Listener context: ""a new Genesis"" (251 likes)",Pop,251,high,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,4,1,https://youtube.com/watch?v=Jrf8N1EMUhg,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Camera [Lyric Video],Ed Sheeran,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 6 in sequence.,Pop,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,5,0,https://youtube.com/watch?v=8cDeR2cpBYU,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",i wish i hated you (lyric visualizer),Ariana Grande,"From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 7 in sequence. Listener context: ""so emotionally moving"" (4200 likes)",Pop,4200,high,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,6,2,https://youtube.com/watch?v=T5k2-0yRzKc,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Before The Day Is Over,Joji,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 8 in sequence.,Pop,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,7,0,https://youtube.com/watch?v=DtqW8jnXhnI,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",in your hands,Halle,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 9 in sequence.,Pop,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,8,0,https://youtube.com/watch?v=iciwgez_adE,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Butterfly,Lemka,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 10 in sequence.,Pop,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,9,0,https://youtube.com/watch?v=mzDTw4GPVdE,youtube_playlist_with_comments,study music playlist,focus_study
Focus/Study,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",We Go Down Together,"Dove Cameron, Khalid","From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 11 in sequence. Listener context: ""Billie and Khalid's collab on 'lovely' but this has a grandiose feel like Skyfall by adele"" (4718 likes)",Pop,4718,high,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,10,3,https://youtube.com/watch?v=VSCwnRg0w6M,youtube_playlist_with_comments,study music playlist,focus_study
