vibe_category,vibe_description,song_name,artist_name,recommendation_reasoning,genre_category,comment_score,extraction_confidence,source_url,data_source,relation_type,anchor_reference_artist,anchor_reference_song,delta_description,reasoning_text,playlist_name,playlist_id,curator,sequence_position,spotify_id,popularity,extraction_method,search_query,vibe_category_hint
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Beach Baby,Bon Iver,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 1.,,71,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,0,2LXtyj95dK56ENS1QLt4IB,71,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Sparks,Coldplay,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 2.,,90,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,1,7D0RhFcb3CrfPuTJ0obrod,90,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,WILDFLOWER,Billie Eilish,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 3.,,92,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,2,3QaPy1KgI7nu9FJEQUgn6h,92,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,No One Noticed,The Marías,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 4.,,89,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,3,3siwsiaEoU4Kuuc9WKMUy5,89,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Pretty Boy,The Neighbourhood,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 5.,,76,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,4,7IL8PSVwLOJxqYne6azxQv,76,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Velvet Ring,Big Thief,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 6.,,68,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,5,7qshYIOUFQAGgYfWXg1m9N,68,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Fishbowl,Findlay,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 7.,,30,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,6,5AAOgLdVl9DvEwtY6LXWIB,30,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Hollywood Sign,Mereki,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 8.,,31,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,7,4xw0P9UfRRQJX8HzNMwdcn,31,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,Pushing It Down and Praying,Lizzy McAlpine,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 9.,,70,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,8,4wO2JlPZw72Xlu6dGUW4Ce,70,spotify_playlist,sad songs emotional,emotional_sad
,probably crying over a boy - Sad pop songs emotional breakup anthems and Top 100 hits featuring Taylor Swift Olivia Rodrigo Billie Eilish and Tate McRae. Late-night crying overthinking and post-breakup vibes. Sad Songs - Songs to,undressed,sombr,From Spotify playlist: probably crying over a boy (curated by Kayla Aubut). Position 10.,,85,high,https://open.spotify.com/playlist/5HXzNq1E4FK5ohafzUDcWW,spotify,,,,,,probably crying over a boy,5HXzNq1E4FK5ohafzUDcWW,Kayla Aubut,9,4AajxCEwGEsmHmT4H1TwjY,85,spotify_playlist,sad songs emotional,emotional_sad
