vibe_category,vibe_description,song_name,artist_name,recommendation_reasoning,genre_category,comment_score,extraction_confidence,source_url,data_source,relation_type,anchor_reference_artist,anchor_reference_song,delta_description,reasoning_text,playlist_title,playlist_id,sequence_position,extraction_method,search_query,vibe_category_hint
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Ordinary,Alex Warren,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 1 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,0,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",In The Dark,Selena Gomez,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 3 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,2,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",intro (end of the world) (extended) (lyric visualizer),Ariana Grande,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 4 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,3,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Changes,Charlie Puth,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 5 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,4,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Camera,Ed Sheeran,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 6 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,5,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",i wish i hated you (lyric visualizer),Ariana Grande,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 7 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,6,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Before The Day Is Over (Lyrics),Joji,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 8 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,7,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",in your hands,Halle,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 9 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,8,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",Butterfly,Lemka,From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 10 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,9,youtube_playlist,study music playlist,focus_study
,"Study Playlist  2025 ♫  Best Pop Study Music 2025 - Study Playlist 2025 ♫ Best Pop Study Music 2025 If you liked this playlist, we recommend you also listen to these music lists: 1.",We Go Down Together,"Dove Cameron, Khalid",From YouTube playlist: Study Playlist  2025 ♫  Best Pop Study Music 2025. Position 11 in sequence.,,0,medium,https://youtube.com/playlist?list=PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,youtube,,,,,,Study Playlist  2025 ♫  Best Pop Study Music 2025,PLo3pNg0eiPc8HrbDZQ-8awp7JRoGVdftY,10,youtube_playlist,study music playlist,focus_study
